pair,direction,datetime,price,price_5min_before,price_change_5min_percent,open_interest_usdt,volume_1h_usdt,high_1h,low_1h,profit_1h_percent,exchange
IDEXUSDT,BUY,2025-10-26 12:30:00,$0.01986000,$0.01985000,+0.05%,"$524,632.47","$26,764.69",$0.01995000,$0.01983000,+0.45%,BYBIT
MAVIAUSDT,BUY,2025-10-26 12:00:00,$0.10740000,$0.10800000,-0.56%,"$10,765,971.80","$33,929,366.97",$0.13060000,$0.10650000,+21.60%,BINANCE
DEEPUSDT,BUY,2025-10-26 11:45:00,$0.08720000,$0.08653000,+0.77%,"$2,152,535.35","$271,290.87",$0.08744000,$0.08505000,+0.28%,BINANCE
BSVUSDT,BUY,2025-10-26 11:15:00,$21.86000000,$21.84000000,+0.09%,"$2,232,580.45","$151,957.86",$22.20000000,$21.81000000,+1.56%,BINANCE
BSVUSDT,BUY,2025-10-26 10:30:00,$21.94000000,$21.91000000,+0.14%,"$2,232,580.45","$153,569.37",$21.96000000,$21.77000000,+0.09%,BINANCE
BSVUSDT,BUY,2025-10-26 10:15:00,$21.85000000,$21.84000000,+0.05%,"$2,232,580.45","$153,569.37",$21.96000000,$21.77000000,+0.50%,BINANCE
DEEPUSDT,BUY,2025-10-26 10:00:00,$0.08586000,$0.08578000,+0.09%,"$2,152,316.89","$69,453.64",$0.08591000,$0.08512000,+0.06%,BINANCE
COAIUSDT,BUY,2025-10-26 10:00:00,$5.99700000,$5.96300000,+0.57%,"$30,411,776.77","$20,827,724.59",$6.27300000,$5.92500000,+4.60%,BINANCE
BSVUSDT,BUY,2025-10-26 10:00:00,$21.88000000,$21.88000000,+0.00%,"$2,232,580.45","$153,569.37",$21.96000000,$21.77000000,+0.37%,BINANCE
JUPUSDT,BUY,2025-10-26 09:30:00,$0.42980000,$0.42940000,+0.09%,"$29,512,059.99","$2,963,740.86",$0.43360000,$0.42560000,+0.88%,BINANCE
API3USDT,BUY,2025-10-26 08:00:00,$0.70300000,$0.70100000,+0.29%,"$5,916,516.99","$649,901.79",$0.70470000,$0.69880000,+0.24%,BINANCE
ATOMUSDT,BUY,2025-10-26 08:00:00,$3.16200000,$3.15600000,+0.19%,"$24,416,052.03","$1,769,660.52",$3.18500000,$3.15900000,+0.73%,BINANCE
FUNUSDT,BUY,2025-10-26 02:45:00,$0.00341100,$0.00341900,-0.23%,"$2,453,505.72","$977,522.15",$0.00354700,$0.00334000,+3.99%,BINANCE
NOMUSDT,BUY,2025-10-26 02:30:00,$0.02366000,$0.02291000,+3.27%,"$2,173,930.02","$6,376,593.46",$0.02548000,$0.02239000,+7.69%,BINANCE
FUNUSDT,BUY,2025-10-26 02:15:00,$0.00352200,$0.00351500,+0.20%,"$2,455,250.94","$977,522.15",$0.00354700,$0.00334000,+0.71%,BINANCE
1000TURBOUSDT,BUY,2025-10-25 23:45:00,$2.42330000,$2.42310000,+0.01%,"$1,339,482.83","$188,601.44",$2.44040000,$2.41510000,+0.71%,BYBIT
JUPUSDT,BUY,2025-10-25 21:15:00,$0.42800000,$0.43000000,-0.47%,"$29,548,006.90","$1,181,500.75",$0.43060000,$0.42690000,+0.61%,BINANCE
SWARMSUSDT,SELL,2025-10-25 21:00:00,$0.01904000,$0.01910000,-0.31%,"$4,386,183.92","$403,512.00",$0.01914000,$0.01831000,+3.83%,BINANCE
BLUAIUSDT,SELL,2025-10-25 20:15:00,$0.02694000,$0.02695000,-0.04%,"$6,987,991.79","$2,630,773.77",$0.02828000,$0.02669000,+0.93%,BINANCE
NXPCUSDT,BUY,2025-10-25 19:30:00,$0.36570000,$0.36570000,+0.00%,"$3,304,852.54","$92,463.31",$0.36700000,$0.36510000,+0.36%,BINANCE
ENSOUSDT,SELL,2025-10-25 19:15:00,$1.78700000,$1.78900000,-0.11%,"$7,267,879.86","$863,815.38",$1.81100000,$1.77800000,+0.50%,BINANCE
